Date	Sentiment
05/10/2014 19:34	Neutral
05/10/2014 19:33	Positive
05/10/2014 19:33	Positive
05/10/2014 19:33	Positive
05/10/2014 19:33	Negative
05/10/2014 19:33	Positive
05/10/2014 19:33	Positive
05/10/2014 19:32	Negative
05/10/2014 19:32	Positive
05/10/2014 19:32	Negative
05/10/2014 19:32	Negative
05/10/2014 19:32	Negative
05/10/2014 19:31	Negative
05/10/2014 19:31	Neutral
05/10/2014 19:31	Neutral
05/10/2014 19:31	Neutral
05/10/2014 19:31	Positive
05/10/2014 19:31	Positive
05/10/2014 19:30	Negative
05/10/2014 19:30	Positive
05/10/2014 19:30	Positive
05/10/2014 19:30	Positive
05/10/2014 19:30	Negative
05/10/2014 19:30	Positive
05/10/2014 19:30	Neutral
05/10/2014 19:30	Positive
05/10/2014 19:29	Neutral
05/10/2014 19:29	Neutral
05/10/2014 19:29	Positive
05/10/2014 19:29	Positive
05/10/2014 19:29	Negative
05/10/2014 19:29	Positive
05/10/2014 19:29	Positive
05/10/2014 19:29	Negative
05/10/2014 19:28	Positive
05/10/2014 19:28	Positive
05/10/2014 19:28	Positive
05/10/2014 19:28	Negative
05/10/2014 19:28	Positive
05/10/2014 19:28	Neutral
05/10/2014 19:28	Positive
05/10/2014 19:28	Positive
05/10/2014 19:28	Neutral
05/10/2014 19:28	Positive
05/10/2014 19:28	Positive
05/10/2014 19:27	Positive
05/10/2014 19:27	Positive
05/10/2014 19:27	Positive
05/10/2014 19:27	Negative
05/10/2014 19:27	Neutral
05/10/2014 19:27	Positive
05/10/2014 19:27	Neutral
05/10/2014 19:27	Negative
05/10/2014 19:26	Negative
05/10/2014 19:26	Positive
05/10/2014 19:26	Positive
05/10/2014 19:26	Positive
05/10/2014 19:25	Negative
05/10/2014 19:25	Neutral
05/10/2014 19:25	Neutral
05/10/2014 19:25	Positive
05/10/2014 19:25	Neutral
05/10/2014 19:25	Negative
05/10/2014 19:25	Negative
05/10/2014 19:25	Positive
05/10/2014 19:24	Positive
05/10/2014 19:24	Negative
05/10/2014 19:24	Negative
05/10/2014 19:24	Negative
05/10/2014 19:24	Negative
05/10/2014 19:24	Positive
05/10/2014 19:23	Neutral
05/10/2014 19:23	Positive
05/10/2014 19:23	Positive
05/10/2014 19:23	Neutral
