username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink,,
ArthurKuhn7,2018-06-02 19:38,0,0,#GeraldoPresidente do BRASIL!,,,#GeraldoPresidente,1.00304317429258E+018,https://twitter.com/ArthurKuhn7/status/1003043174292578305,,
ArthurKuhn7,2018-06-02 19:37,0,0,Força Geraldo! Meu candidato.,,,,1.00304301621349E+018,https://twitter.com/ArthurKuhn7/status/1003043016213491712,,
ArthurKuhn7,2018-06-02 19:36,0,0,Parabéns Geraldo!,,,,1.00304280490026E+018,https://twitter.com/ArthurKuhn7/status/1003042804900261893,,
ArthurKuhn7,2018-06-02 19:35,0,0,Ribeirão Preto produzindo com #GeraldoPresidente,,,#GeraldoPresidente,1.00304252230898E+018,https://twitter.com/ArthurKuhn7/status/1003042522308980737,,
ArthurKuhn7,2018-06-02 19:34,0,0,Vamos dar mais suporte ao setor agrícola! #GeraldoPresidente,,,#GeraldoPresidente,1.00304220732941E+018,https://twitter.com/ArthurKuhn7/status/1003042207329411072,,
ArthurKuhn7,2018-06-02 19:33,0,0,A voz do povo é a voz de Deus ! #VaiGeraldo,,,#VaiGeraldo,1.00304194753834E+018,https://twitter.com/ArthurKuhn7/status/1003041947538337793,,
ArthurKuhn7,2018-06-02 19:32,0,0,Geraldo Presidente #PAZ,,,#PAZ,1.00304174819153E+018,https://twitter.com/ArthurKuhn7/status/1003041748191531010,,
ArthurKuhn7,2018-06-02 19:31,0,0,Geraldo Presidente pela corta de privilégios!,,,,1.00304139615515E+018,https://twitter.com/ArthurKuhn7/status/1003041396155146243,,
ArthurKuhn7,2018-06-02 19:30,0,0,O Brasil vai pra frente na medicina e na saúde com geraldo presidente!,,,,1.00304112806367E+018,https://twitter.com/ArthurKuhn7/status/1003041128063668225,,
ArthurKuhn7,2018-06-02 19:28,0,0,"Parabéns pela iniciativa, o povo do Maranhão é lindo!",,,,1.00304056594299E+018,https://twitter.com/ArthurKuhn7/status/1003040565942988800,,
LeonardoFactual,2018-06-02 19:27,0,0,"@cirogomes @geraldoalckmin @meirelles @joaoamoedonovo @flaviogr @MarinaSilva @jairbolsonaro Liberar usinas de etanol para vender diretamente para os postos não abriria uma boa concorrência no mercado de combustíveis, reduzindo os preços? O que acham?",,@cirogomes @geraldoalckmin @meirelles @joaoamoedonovo @flaviogr @MarinaSilva @jairbolsonaro,,1.00304042021609E+018,https://twitter.com/LeonardoFactual/status/1003040420216090625,,
ArthurKuhn7,2018-06-02 19:26,0,0,Sustentabilidade é a chave pro futuro!,,,,1.00304019175654E+018,https://twitter.com/ArthurKuhn7/status/1003040191756537856,,
